node,alpha,func_vals
Temporalpole,0.727725743177325,3.338774723091865
Entorhinal,0.22772574317732497,3.0582534593059556
Middletemporal,0.977725743177325,10.756182565352104
Amygdala,0.47772574317732497,2.8303555914372667
Amygdala,0.10272574317732497,3.558727671731178
Middletemporal,0.602725743177325,2.4229891981515
Inferiortemporal,0.852725743177325,3.5967230679446187
Temporalpole,0.35272574317732497,2.6192291564214294
Temporalpole,0.04022574317732497,4.670713043817219
Inferiortemporal,0.540225743177325,2.265420624247958
Middletemporal,0.790225743177325,3.2859042597797865
Amygdala,0.29022574317732497,2.9572550245712494
Amygdala,0.915225743177325,4.644536066838104
Middletemporal,0.41522574317732497,2.3662466411778755
Entorhinal,0.16522574317732497,3.4495032872758506
Temporalpole,0.665225743177325,3.0016323156607387
Temporalpole,0.19647574317732497,3.3738493265065372
Inferiortemporal,0.696475743177325,2.7305960364124724
Middletemporal,0.946475743177325,4.416096668649398
Amygdala,0.44647574317732497,2.805456643814062
Entorhinal,0.821475743177325,3.707180174360523
Temporalpole,0.32147574317732497,2.7283655755281764
Middletemporal,0.07147574317732497,3.196630990247361
Amygdala,0.571475743177325,3.0349968126817313
Temporalpole,0.883975743177325,3.8178527660038983
Inferiortemporal,0.38397574317732497,2.2091089331796554
Middletemporal,0.13397574317732497,3.004470331029058
Amygdala,0.633975743177325,3.2618287371178076
Amygdala,0.008975743177324969,4.089652349607817
Middletemporal,0.508975743177325,2.311713356127463
Entorhinal,0.758975743177325,3.48021731711267
Temporalpole,0.25897574317732497,3.011945185395899
Temporalpole,0.993350743177325,14.236186033445911
Entorhinal,0.49335074317732497,2.420534208115711
Middletemporal,0.743350743177325,3.009290253086975
Amygdala,0.24335074317732497,3.0710436073526983
Amygdala,0.868350743177325,3.82721167179845
Middletemporal,0.36835074317732497,2.4369277386911703
Inferiortemporal,0.11835074317732497,2.4585991732684556
Temporalpole,0.618350743177325,2.764271586925177
Amygdala,0.805850743177325,3.779276098214329
Middletemporal,0.30585074317732497,2.5599679195342633
Temporalpole,0.05585074317732497,4.5043235649359215
Entorhinal,0.555850743177325,2.5407539832818253
Amygdala,0.18085074317732497,3.2662761018607283
Middletemporal,0.680850743177325,2.687233129839778
Inferiortemporal,0.930850743177325,3.8279761253588878
Temporalpole,0.43085074317732497,2.441104553211393
Temporalpole,0.962100743177325,12.670522851162255
Entorhinal,0.46210074317732497,2.405764244797734
Middletemporal,0.21210074317732497,2.786849581576977
Amygdala,0.712100743177325,3.560778401854134
Amygdala,0.08710074317732497,3.6194915893419037
Middletemporal,0.587100743177325,2.390482109059352
Inferiortemporal,0.837100743177325,3.5172766119819836
Temporalpole,0.33710074317732497,2.6718338607275673
Temporalpole,0.14960074317732497,3.697727372293064
Inferiortemporal,0.649600743177325,2.533586348710656
Middletemporal,0.899600743177325,3.7801780195029924
Amygdala,0.39960074317732497,2.806972846184896
Amygdala,0.774600743177325,3.729368859733241
Middletemporal,0.27460074317732497,2.628734614141004
Entorhinal,0.02460074317732497,5.041786240142305
Temporalpole,0.524600743177325,2.459619836043247
Temporalpole,0.12616324317732497,3.8796140582704113
Entorhinal,0.626163243177325,2.811495361258649
Middletemporal,0.876163243177325,3.7118665595238376
Amygdala,0.37616324317732497,2.8234326421990206
Amygdala,0.751163243177325,3.6766706337215953
Middletemporal,0.25116324317732497,2.686447881396838
Inferiortemporal,0.0011632431773249685,2.6637668106993915
Temporalpole,0.501163243177325,2.42883065649311
Temporalpole,0.938663243177325,8.707800131150456
Inferiortemporal,0.43866324317732497,2.200320200458825
Middletemporal,0.18866324317732497,2.848316189371342
Amygdala,0.688663243177325,3.4772607853785287
Amygdala,0.06366324317732497,3.7217484680980393
Middletemporal,0.563663243177325,2.3527413919224838
Entorhinal,0.813663243177325,3.6848586559245278
Temporalpole,0.31366324317732497,2.7612952063244363
Temporalpole,0.844913243177325,3.7642569218515662
Inferiortemporal,0.34491324317732497,2.2297163660983736
