node,alpha,func_vals
Temporalpole,0.727725743177325,3.44971511402923
Entorhinal,0.22772574317732497,3.0073637112990217
Middletemporal,0.977725743177325,11.485856575555651
Amygdala,0.47772574317732497,2.8397847207210867
Amygdala,0.10272574317732497,3.243553746724338
Middletemporal,0.602725743177325,2.560108675573577
Inferiortemporal,0.852725743177325,3.691529969470906
Temporalpole,0.35272574317732497,2.4760984131745962
Temporalpole,0.04022574317732497,4.412415756259464
Inferiortemporal,0.540225743177325,2.2786369792690326
Middletemporal,0.790225743177325,3.4276967661932147
Amygdala,0.29022574317732497,2.850845507751762
Amygdala,0.915225743177325,4.487383910464714
Middletemporal,0.41522574317732497,2.4685909945216147
Entorhinal,0.16522574317732497,3.330167433889992
Temporalpole,0.665225743177325,3.1263521017619174
Temporalpole,0.19647574317732497,3.150204767716199
Inferiortemporal,0.696475743177325,2.8870757500143305
Middletemporal,0.946475743177325,5.114021749175002
Amygdala,0.44647574317732497,2.801356091386706
Entorhinal,0.821475743177325,3.7564584530120086
Temporalpole,0.32147574317732497,2.5641167586677116
Middletemporal,0.07147574317732497,3.5362133034919148
Amygdala,0.571475743177325,3.0785131429400576
Temporalpole,0.883975743177325,3.8278465551837075
Inferiortemporal,0.38397574317732497,2.0938710218694347
Middletemporal,0.13397574317732497,3.2398299823604217
Amygdala,0.633975743177325,3.3144681156423768
Amygdala,0.008975743177324969,3.519545357685475
Middletemporal,0.508975743177325,2.421765606781205
Entorhinal,0.758975743177325,3.582356840526654
Temporalpole,0.25897574317732497,2.8117348226288383
Temporalpole,0.993350743177325,14.350779220936007
Entorhinal,0.49335074317732497,2.5863717077251698
Middletemporal,0.743350743177325,3.171574355765903
Amygdala,0.24335074317732497,2.927235646724473
Amygdala,0.868350743177325,3.8309361582074284
Middletemporal,0.36835074317732497,2.538893924405477
Inferiortemporal,0.11835074317732497,2.3103385765497335
Temporalpole,0.618350743177325,2.8724193001722558
Amygdala,0.805850743177325,3.7943034063434307
Middletemporal,0.30585074317732497,2.6750540519576615
Temporalpole,0.05585074317732497,4.253293544715197
Entorhinal,0.555850743177325,2.7194562666992494
Amygdala,0.18085074317732497,3.0532873104999214
Middletemporal,0.680850743177325,2.8476753957322876
Inferiortemporal,0.930850743177325,3.833798403423921
Temporalpole,0.43085074317732497,2.3698818756369615
Temporalpole,0.962100743177325,13.244137234676325
Entorhinal,0.46210074317732497,2.559364356247307
Middletemporal,0.21210074317732497,2.9477486909822095
Amygdala,0.712100743177325,3.6034099489639497
Amygdala,0.08710074317732497,3.2873526424623902
Middletemporal,0.587100743177325,2.5223284814746822
Inferiortemporal,0.837100743177325,3.6319094508952148
Temporalpole,0.33710074317732497,2.5170148981797267
Temporalpole,0.14960074317732497,3.4627125536154875
Inferiortemporal,0.649600743177325,2.6549237120737432
Middletemporal,0.899600743177325,3.809755797841748
Amygdala,0.39960074317732497,2.7787790479716876
Amygdala,0.774600743177325,3.7527279931159594
Middletemporal,0.27460074317732497,2.7569055191427516
Entorhinal,0.02460074317732497,4.992653553148851
Temporalpole,0.524600743177325,2.4855670131993834
Temporalpole,0.12616324317732497,3.636957478136045
Entorhinal,0.626163243177325,2.9848404923055583
Middletemporal,0.876163243177325,3.767030811552121
Amygdala,0.37616324317732497,2.7798883837658432
Amygdala,0.751163243177325,3.707569437021568
Middletemporal,0.25116324317732497,2.824310711729375
Inferiortemporal,0.0011632431773249685,2.691329414285231
Temporalpole,0.501163243177325,2.430164773936882
Temporalpole,0.938663243177325,9.868934960132728
Inferiortemporal,0.43866324317732497,2.120343036121544
Middletemporal,0.18866324317732497,3.0274365065839985
Amygdala,0.688663243177325,3.525286487578845
Amygdala,0.06366324317732497,3.348125978385336
Middletemporal,0.563663243177325,2.476768549715522
Entorhinal,0.813663243177325,3.7404079543739854
Temporalpole,0.31366324317732497,2.591139162766516
Temporalpole,0.844913243177325,3.794305758820899
Inferiortemporal,0.34491324317732497,2.0942210975539908
Middletemporal,0.09491324317732497,3.4152935658557166
Amygdala,0.594913243177325,3.161132425344252
Entorhinal,0.21991324317732497,3.041314780343579
Temporalpole,0.719913243177325,3.4133242159276715
Middletemporal,0.969913243177325,10.119598252027822
Amygdala,0.46991324317732497,2.828134563848257
Temporalpole,0.03241324317732497,4.496526466730274
Inferiortemporal,0.532413243177325,2.260321418303008
Middletemporal,0.782413243177325,3.3862823351670306
Amygdala,0.28241324317732497,2.8639486173454762
Amygdala,0.907413243177325,3.843621001529952
Middletemporal,0.40741324317732497,2.476480176440849
Entorhinal,0.15741324317732497,3.378016519395372
Temporalpole,0.657413243177325,3.0833025953888766
Temporalpole,0.860538243177325,3.8117139289749256
Entorhinal,0.36053824317732497,2.62392429005436
Middletemporal,0.11053824317732497,3.3421686645941184
Amygdala,0.610538243177325,3.221444587485581
Amygdala,0.985538243177325,14.523953464099385
Middletemporal,0.48553824317732497,2.4183981343897494
Inferiortemporal,0.735538243177325,3.102725584673951
Temporalpole,0.23553824317732497,2.929247735159721
Amygdala,0.17303824317732497,3.072807012248635
Middletemporal,0.673038243177325,2.8126843784662343
Temporalpole,0.923038243177325,6.449792476298095
Entorhinal,0.42303824317732497,2.5595348917332634
Amygdala,0.798038243177325,3.785702844842804
Middletemporal,0.29803824317732497,2.695992264281053
Inferiortemporal,0.04803824317732497,2.464613738291571
Temporalpole,0.548038243177325,2.5608523939767784
Temporalpole,0.07928824317732497,4.031526654761106
Entorhinal,0.579288243177325,2.794568839737865
Middletemporal,0.829288243177325,3.613066536216254
Amygdala,0.32928824317732497,2.808071887255491
