node,alpha,func_vals
Temporalpole,0.727725743177325,3.3777271213717674
Entorhinal,0.22772574317732497,3.1756752996459077
Middletemporal,0.977725743177325,11.165879119147611
Amygdala,0.47772574317732497,3.1490969812869536
Amygdala,0.10272574317732497,4.6497162398415695
Middletemporal,0.602725743177325,2.5186479699185416
Inferiortemporal,0.852725743177325,3.6671787542522645
Temporalpole,0.35272574317732497,2.5036671377727098
Temporalpole,0.04022574317732497,4.762776019386296
Inferiortemporal,0.540225743177325,2.2990467356428934
Middletemporal,0.790225743177325,3.3555778813390997
Amygdala,0.29022574317732497,3.499423808163428
Amygdala,0.915225743177325,4.239794722690146
Middletemporal,0.41522574317732497,2.436606843184938
Entorhinal,0.16522574317732497,3.58641321422697
Temporalpole,0.665225743177325,3.0462649299694498
Temporalpole,0.19647574317732497,3.1900999057305026
Inferiortemporal,0.696475743177325,2.8304943688056894
Middletemporal,0.946475743177325,4.769059790691002
Amygdala,0.44647574317732497,3.1595660008710795
Entorhinal,0.821475743177325,3.74013038970307
Temporalpole,0.32147574317732497,2.5927203934589587
Middletemporal,0.07147574317732497,3.575690463388529
Amygdala,0.571475743177325,3.2481789455648933
Temporalpole,0.883975743177325,3.8260340136147284
Inferiortemporal,0.38397574317732497,2.2017209576158336
Middletemporal,0.13397574317732497,3.219693164324912
Amygdala,0.633975743177325,3.4072648953810805
Amygdala,0.008975743177324969,6.322950266229223
Middletemporal,0.508975743177325,2.3915664220500177
Entorhinal,0.758975743177325,3.5390036842582733
Temporalpole,0.25897574317732497,2.8417933450803097
Temporalpole,0.993350743177325,14.257792949381383
Entorhinal,0.49335074317732497,2.542339280820006
Middletemporal,0.743350743177325,3.095375727341545
Amygdala,0.24335074317732497,3.6936446809167247
Amygdala,0.868350743177325,3.8392915769043707
Middletemporal,0.36835074317732497,2.5041023521795203
Inferiortemporal,0.11835074317732497,2.6296117667651484
Temporalpole,0.618350743177325,2.8037409796585377
Amygdala,0.805850743177325,3.8117168064255282
Middletemporal,0.30585074317732497,2.63652860245957
Temporalpole,0.05585074317732497,4.5184623920686295
Entorhinal,0.555850743177325,2.65714910763527
Amygdala,0.18085074317732497,4.036017646475464
Middletemporal,0.680850743177325,2.7849300019411416
Inferiortemporal,0.930850743177325,3.8332164519791894
Temporalpole,0.43085074317732497,2.3835841449416932
Temporalpole,0.962100743177325,12.779508348663565
Entorhinal,0.46210074317732497,2.5271202557032084
Middletemporal,0.21210074317732497,2.910612447646267
Amygdala,0.712100743177325,3.6387737895709993
Amygdala,0.08710074317732497,4.812745642077033
Middletemporal,0.587100743177325,2.4834213977363393
Inferiortemporal,0.837100743177325,3.5982572134185276
Temporalpole,0.33710074317732497,2.5451712999921248
Temporalpole,0.14960074317732497,3.526429741873665
Inferiortemporal,0.649600743177325,2.617011540099815
Middletemporal,0.899600743177325,3.8011737854937575
Amygdala,0.39960074317732497,3.212609592992077
Amygdala,0.774600743177325,3.7736419210218766
Middletemporal,0.27460074317732497,2.7171221969781088
Entorhinal,0.02460074317732497,5.529765425423688
Temporalpole,0.524600743177325,2.4639154678189996
Temporalpole,0.12616324317732497,3.724024939929338
Entorhinal,0.626163243177325,2.9131249042297047
Middletemporal,0.876163243177325,3.7459856751549516
Amygdala,0.37616324317732497,3.254528860190744
Amygdala,0.751163243177325,3.731933813003232
Middletemporal,0.25116324317732497,2.7848123971317746
Inferiortemporal,0.0011632431773249685,3.3837842355820253
Temporalpole,0.501163243177325,2.419512318054159
Temporalpole,0.938663243177325,8.917073111486182
Inferiortemporal,0.43866324317732497,2.1984638282988063
Middletemporal,0.18866324317732497,2.9928808307173997
Amygdala,0.688663243177325,3.57293581895974
Amygdala,0.06366324317732497,5.103912574506672
Middletemporal,0.563663243177325,2.4420853706716534
Entorhinal,0.813663243177325,3.7213742604423494
Temporalpole,0.31366324317732497,2.619991607153896
Temporalpole,0.844913243177325,3.783609082973308
Inferiortemporal,0.34491324317732497,2.2246134061944476
Middletemporal,0.09491324317732497,3.425401513121494
Amygdala,0.594913243177325,3.3008857505486513
Entorhinal,0.21991324317732497,3.2206157622740497
Temporalpole,0.719913243177325,3.3386327513530984
Middletemporal,0.969913243177325,9.725506375404041
Amygdala,0.46991324317732497,3.149588682053198
Temporalpole,0.03241324317732497,4.90307321770607
Inferiortemporal,0.532413243177325,2.2851462023146025
Middletemporal,0.782413243177325,3.312212335155791
Amygdala,0.28241324317732497,3.5285079678748783
Amygdala,0.907413243177325,3.838519223223142
Middletemporal,0.40741324317732497,2.444239141074154
Entorhinal,0.15741324317732497,3.650399375442083
Temporalpole,0.657413243177325,3.0040064798719945
Temporalpole,0.860538243177325,3.805673535375271
Entorhinal,0.36053824317732497,2.6517757012418577
Middletemporal,0.11053824317732497,3.337405844148262
Amygdala,0.610538243177325,3.3412802551354597
Amygdala,0.985538243177325,14.446166534942542
Middletemporal,0.48553824317732497,2.3886029087096383
Inferiortemporal,0.735538243177325,3.037588546065677
Temporalpole,0.23553824317732497,2.962425105801393
Amygdala,0.17303824317732497,4.084805061941859
Middletemporal,0.673038243177325,2.751436903558075
Temporalpole,0.923038243177325,5.486911217123556
Entorhinal,0.42303824317732497,2.546204363250939
Amygdala,0.798038243177325,3.803979495466306
Middletemporal,0.29803824317732497,2.6572263363360276
Inferiortemporal,0.04803824317732497,2.9149123060871833
Temporalpole,0.548038243177325,2.525481605864834
Temporalpole,0.07928824317732497,4.21163718129761
Entorhinal,0.579288243177325,2.7278116976364672
Middletemporal,0.829288243177325,3.5597561975587704
Amygdala,0.32928824317732497,3.370727956016042
Amygdala,0.954288243177325,11.778667956286922
Middletemporal,0.45428824317732497,2.3997407719196415
Inferiortemporal,0.20428824317732497,2.4194679616936066
Temporalpole,0.704288243177325,3.256921145336252
Temporalpole,0.766788243177325,3.556994380382612
Inferiortemporal,0.26678824317732497,2.311448741406576
Middletemporal,0.01678824317732497,4.160368733928513
Amygdala,0.516788243177325,3.168306038623047
Amygdala,0.14178824317732497,4.308245250820972
Middletemporal,0.641788243177325,2.63350213082538
Entorhinal,0.891788243177325,3.829623104320068
Temporalpole,0.39178824317732497,2.425382166675405
