seed,SSE,r
Caudalanteriorcingulate,10.906172111561554,-0.5005063392938519
Parstriangularis,11.934559337475998,-0.39281128132533905
Superiortemporal,3.73128823848259,0.4646970329421718
Insula,6.7584714300938495,-0.20638225099200738
Caudalmiddlefrontal,10.74658428478558,-0.4660590467230849
Superiorparietal,5.931912220274919,0.19836403388070595
Rostralmiddlefrontal,12.310121498057425,-0.47230059480555864
Precuneus,6.062503943821614,0.12080945248175161
Cuneus,4.749594371511972,0.3220320778324664
Supramarginal,5.256951440026255,0.1730162616841163
Hippocampus,3.1809195293656467,0.5470826724648663
Inferiorparietal,3.8063410778650097,0.48617857836772876
Precentral,11.52483534919747,-0.5299336585797447
Caudate,8.869942720035024,-0.48258408833219407
Pericalcarine,4.390885109869542,0.3521170219407612
Frontalpole,10.175713699129153,-0.43983880524903296
Paracentral,9.628656132928478,-0.535792150810848
Bankssts,3.205938729124641,0.5441337554714598
Transversetemporal,3.8228859258526993,0.3546655442591462
Posteriorcingulate,8.373204611084232,-0.4413901710347039
Cerebellum_Cortex,4.469701135509984,-0.44676852854615806
Middletemporal,2.6679795523346534,0.6394931450952005
Isthmuscingulate,4.826694230306092,0.26492966516542865
Rostralanteriorcingulate,11.844370520209498,-0.4585009309833624
Lateraloccipital,4.460232188313367,0.40847317696308677
Amygdala,2.6675241731823602,0.5655252457310253
Medialorbitofrontal,11.302942262858572,-0.4368004144420723
Lingual,4.349702489316438,0.41363623739646027
Inferiortemporal,2.3883614473957095,0.6947512378947754
Putamen,6.58157117199206,-0.30860777296728015
Accumbens_area,9.021267591188842,-0.3898196221132359
Lateralorbitofrontal,12.237334823957012,-0.4371385867903878
Postcentral,8.452246362042976,-0.355524696350806
Temporalpole,2.7051343437440694,0.608959574551765
Entorhinal,2.722562656511233,0.5934327022180644
Parsorbitalis,11.418820010536317,-0.4009357664511397
Fusiform,3.8902356317763775,0.5698677804768758
Parsopercularis,11.152453869902217,-0.4312589858524953
Pallidum,5.1283544500026395,-0.09723265030893925
Superiorfrontal,13.531059188411968,-0.47351911709014055
Parahippocampal,3.5233090982753716,0.5187512856561054
Thalamus_Proper,5.6322112216944795,-0.4520714242668066
