seed,SSE,r
Bankssts,2.933431514014184,0.5856945965585344
Cuneus,4.599480075897358,0.31752554068073435
Posteriorcingulate,8.357745715541757,-0.38902315198776793
Lingual,4.3009867856341835,0.35584430247421817
Hippocampus,2.8177289661527443,0.5549634834719329
Insula,6.557000880478453,-0.1344000370086097
Fusiform,3.404683573187396,0.6608985207864526
Superiorfrontal,13.788688344947506,-0.47307566922034516
Entorhinal,2.60858042766191,0.6049987620692147
Caudate,9.815916122013274,-0.49331778857027386
Pericalcarine,4.461149706295343,0.33042115522288906
Isthmuscingulate,4.970087935078807,0.2008730140485217
Caudalmiddlefrontal,11.843733905865612,-0.44148770498785433
Middletemporal,2.856461906204933,0.6563335938858128
Rostralmiddlefrontal,13.38740582073423,-0.2724855132629348
Inferiorparietal,3.6017730659942364,0.5032547195823679
Parsorbitalis,10.607173567895245,-0.4174821791314775
Amygdala,3.05573441963775,0.5044069939582467
Inferiortemporal,2.6488740162585342,0.7065223310070854
Superiortemporal,3.722508471155149,0.5225043266070889
Medialorbitofrontal,11.158639014128966,-0.43642469430249975
Pallidum,6.734453410098328,-0.37045888607764366
Superiorparietal,7.068762269764399,0.09759611401559135
Putamen,7.298422069844482,-0.3570097160515772
Accumbens_area,9.56582360973897,-0.38691159887602045
Caudalanteriorcingulate,11.36859139815833,-0.5114292327647815
Precuneus,6.304988811023844,0.08169033944475639
Paracentral,9.740394674365943,-0.516609239248931
Postcentral,8.499968741845834,-0.41231126101361515
Frontalpole,10.4660116039518,-0.4303630347985029
Parstriangularis,11.734648387229125,-0.4247704468969446
Temporalpole,2.852183468733951,0.6087148571638148
Lateraloccipital,4.870538683202484,0.40733552229467695
Rostralanteriorcingulate,11.324975437307337,-0.46588369322589096
Cerebellum_Cortex,4.485307243139216,-0.47892227144699223
Supramarginal,5.197038201486868,0.19207616815029888
Parsopercularis,11.214703867133494,-0.41324047288035237
Parahippocampal,3.02642472482656,0.534213661881864
Lateralorbitofrontal,11.767797718480303,-0.42601543219217425
Transversetemporal,3.662756277208244,0.40757643691053724
Precentral,11.207690648217897,-0.5465092735458464
Thalamus_Proper,6.598873023321233,-0.46317995651953053
