seed,SSE,r
Fusiform,3.641978761993357,0.6475350800104391
Caudalanteriorcingulate,11.825531674461113,-0.5025445908819884
Thalamus_Proper,5.988646204529204,-0.49963464156418597
Bankssts,3.374671967321216,0.5250869272284244
Cerebellum_Cortex,4.499760757926688,-0.48392407287860273
Putamen,7.511392892928445,-0.3792868801513478
Isthmuscingulate,4.518266613716563,0.30101105913344484
Caudate,9.743537428856548,-0.5021697139776111
Lateralorbitofrontal,13.03486700331679,-0.4462229846330505
Paracentral,9.877728093014845,-0.537754492434438
Inferiortemporal,2.531588827502425,0.7187869666109468
Amygdala,2.8111723319499213,0.5396155716136926
Transversetemporal,3.959314204444197,0.3558624512524226
Parahippocampal,3.0031165355949874,0.5329902241809543
Pericalcarine,4.669059015667376,0.37441862563296313
Parstriangularis,12.892028559181801,-0.3281726689882997
Posteriorcingulate,8.086595355235339,-0.40623472969428687
Temporalpole,2.7640095923028767,0.6158945528337106
Rostralmiddlefrontal,13.493037014294691,-0.28858986441132833
Middletemporal,3.0689674130729867,0.6361163692148005
Insula,7.064898493804146,-0.24493440552110782
Caudalmiddlefrontal,11.895662806139253,-0.44951959421129134
Frontalpole,11.078108661588535,-0.4474867532121631
Accumbens_area,9.939220834972721,-0.4036516241374861
Superiorparietal,6.754907159316667,0.17396194393359685
Hippocampus,2.9107386813694878,0.5393322987127632
Entorhinal,2.7504078682459463,0.5789752647262698
Inferiorparietal,3.83598846462025,0.503245607593743
Medialorbitofrontal,12.456474126476557,-0.44016661230952453
Superiortemporal,3.8758030176439986,0.4709900570416765
Precentral,12.069575226347112,-0.5428231908224062
Rostralanteriorcingulate,12.295734858588807,-0.46441307749207306
Postcentral,8.900432951766385,-0.40716428575128294
Lingual,4.672103983528231,0.4056648771846493
Parsorbitalis,12.581783462621255,-0.34402574400804914
Precuneus,6.022369562807898,0.16924882444786848
Cuneus,4.8873578071030135,0.3511885122330388
Superiorfrontal,13.938232102948223,-0.4662509502976817
Parsopercularis,11.614737542855243,-0.42183700152756
Supramarginal,5.843083506509998,0.12833782778869307
Lateraloccipital,4.955543709817461,0.4274791379632951
Pallidum,6.409824847835909,-0.3973138313651992
