seed,SSE,r
Caudate,10.116281125922667,-0.4880626666268838
Accumbens_area,10.049539803751633,-0.39708193329474684
Precuneus,5.470400008170281,0.20124816686653554
Paracentral,9.72509765598639,-0.494944921803745
Rostralanteriorcingulate,12.07762503077706,-0.45679388615131516
Middletemporal,3.100235811059813,0.65219613551468
Postcentral,8.742450475613108,-0.376838124325367
Pericalcarine,4.693995886377814,0.36313690848583385
Superiorparietal,6.115116014856823,0.20688676283166005
Rostralmiddlefrontal,13.681908524092588,-0.26945951105389193
Hippocampus,2.935610609465804,0.5595666739323469
Lateralorbitofrontal,12.951373694079292,-0.4381356915053396
Lateraloccipital,5.114696182937912,0.4083218237730185
Superiorfrontal,14.143196095324328,-0.4617708283161997
Transversetemporal,3.494756338270722,0.4110571064776088
Temporalpole,2.6728202930481184,0.6020156639103986
Putamen,7.413172945465706,-0.3030636676014213
Isthmuscingulate,4.5070027461639945,0.30024445899573826
Amygdala,3.1898357060045166,0.45789172249327814
Frontalpole,11.329047468398834,-0.44100972583350295
Medialorbitofrontal,12.74391989709923,-0.44542827878624824
Caudalmiddlefrontal,12.01800639873825,-0.45679735685133704
Parstriangularis,12.135246490236442,-0.39248006065510044
Fusiform,3.7017030917606313,0.6176047141528896
Inferiorparietal,3.562997485488428,0.520742645603235
Supramarginal,5.777740333861236,0.12461923135357561
Insula,6.99110390720964,-0.18683245031272502
Posteriorcingulate,9.060578313786737,-0.43783219228497683
Parahippocampal,3.3267187787383725,0.5396292420242731
Caudalanteriorcingulate,11.585083854133725,-0.5168876904357667
Bankssts,3.205075139443217,0.5636191100755646
Pallidum,6.682899779368304,-0.3466188358081339
Superiortemporal,3.524329615899419,0.5085230882835404
Lingual,4.646011434071478,0.37897389231124
Parsopercularis,11.553616592038301,-0.43812175780088775
Entorhinal,2.761389529147985,0.5835421487812453
Cuneus,4.60363248706478,0.3516861435868646
Inferiortemporal,2.621188620661649,0.7093724431691647
Parsorbitalis,11.962026032228197,-0.4048595321589252
Precentral,11.782589693073936,-0.5186013649399788
Cerebellum_Cortex,4.568163965853835,-0.45465244917727926
Thalamus_Proper,5.951793426802273,-0.39429920341155533
