node,alpha,func_vals
Thalamus_Proper,0.727725743177325,3.7878916826228215
Supramarginal,0.22772574317732497,4.969882074651029
Bankssts,0.977725743177325,13.407016631789288
Putamen,0.47772574317732497,3.663196192880591
Cuneus,0.10272574317732497,5.957182866070211
Inferiorparietal,0.602725743177325,4.072676791041109
Fusiform,0.852725743177325,3.8320314051435864
Hippocampus,0.35272574317732497,3.995139667657012
Parahippocampal,0.04022574317732497,6.8626746391741085
Middletemporal,0.540225743177325,3.406846464008124
Cerebellum_Cortex,0.790225743177325,3.810886812425684
Lateralorbitofrontal,0.29022574317732497,4.767944564196918
Rostralmiddlefrontal,0.915225743177325,3.835594314659708
Entorhinal,0.41522574317732497,3.5157204499753485
Isthmuscingulate,0.16522574317732497,5.675784101087145
Caudate,0.665225743177325,3.824981520636065
Hippocampus,0.19647574317732497,4.330553836930158
Inferiortemporal,0.696475743177325,3.7803265296026214
Inferiorparietal,0.946475743177325,4.1092844828514545
Rostralmiddlefrontal,0.44647574317732497,4.41215784232263
Supramarginal,0.821475743177325,3.8342625224595257
Cerebellum_Cortex,0.32147574317732497,3.9121720154602464
Middletemporal,0.07147574317732497,5.438181130764739
Medialorbitofrontal,0.571475743177325,3.525315197676634
Parahippocampal,0.883975743177325,3.8362594879872254
Fusiform,0.38397574317732497,3.396138927274813
Lateraloccipital,0.13397574317732497,6.933179946746094
Lateralorbitofrontal,0.633975743177325,3.7902751204183933
Putamen,0.008975743177324969,6.872262750436724
Entorhinal,0.508975743177325,3.5309887934428508
Isthmuscingulate,0.758975743177325,3.867108344192271
Thalamus_Proper,0.25897574317732497,4.761026409595316
Caudate,0.993350743177325,13.779348384604734
Isthmuscingulate,0.49335074317732497,4.240930175393521
Entorhinal,0.743350743177325,3.7979081036254385
Putamen,0.24335074317732497,4.074420783148436
Lateralorbitofrontal,0.868350743177325,3.8349145229315824
Lateraloccipital,0.36835074317732497,4.753582349802527
Middletemporal,0.11835074317732497,4.680914176563317
Parahippocampal,0.618350743177325,3.8346388506922784
Medialorbitofrontal,0.805850743177325,3.791717774246728
Bankssts,0.30585074317732497,4.136516606476876
Cerebellum_Cortex,0.05585074317732497,6.095676273352678
Supramarginal,0.555850743177325,3.946258127601796
Cuneus,0.18085074317732497,5.349121668486953
Inferiorparietal,0.680850743177325,3.9232947793642854
Inferiortemporal,0.930850743177325,3.836568658445265
Hippocampus,0.43085074317732497,3.879772784582931
Caudate,0.962100743177325,9.607605469336928
Caudalmiddlefrontal,0.46210074317732497,4.172384207179624
Inferiorparietal,0.21210074317732497,5.763341000751044
Rostralmiddlefrontal,0.712100743177325,3.804561034055997
Lateralorbitofrontal,0.08710074317732497,6.780455841512847
Cerebellum_Cortex,0.587100743177325,3.620015289313539
Middletemporal,0.837100743177325,3.8271934174457303
Medialorbitofrontal,0.33710074317732497,3.4696983350825437
Hippocampus,0.14960074317732497,4.464636015738381
Fusiform,0.649600743177325,3.641702660661586
Lateraloccipital,0.899600743177325,3.8355017542117205
Cuneus,0.39960074317732497,4.4107795302873525
Putamen,0.774600743177325,3.814782630901614
Bankssts,0.27460074317732497,4.279188145902483
Isthmuscingulate,0.02460074317732497,7.613901440500172
Thalamus_Proper,0.524600743177325,3.853280895731522
Thalamus_Proper,0.12616324317732497,5.814728923006042
Isthmuscingulate,0.626163243177325,3.9880755726061325
Bankssts,0.876163243177325,3.8374423824788044
Putamen,0.37616324317732497,3.7564718942383264
Cuneus,0.751163243177325,3.809283272033826
Lateraloccipital,0.25116324317732497,5.599039191583744
Fusiform,0.0011632431773249685,8.027763562597006
Parahippocampal,0.501163243177325,3.9437198415028747
Medialorbitofrontal,0.938663243177325,3.982157547885505
Middletemporal,0.43866324317732497,3.33982476364625
Cerebellum_Cortex,0.18866324317732497,4.552764477572154
Supramarginal,0.688663243177325,3.8546109103011736
Rostralmiddlefrontal,0.06366324317732497,7.742165191465114
Inferiorparietal,0.563663243177325,4.1740893126881895
Caudalmiddlefrontal,0.813663243177325,3.8249951450375144
Caudate,0.31366324317732497,4.420048275596423
Hippocampus,0.844913243177325,3.832363389441098
Fusiform,0.34491324317732497,3.449516004752696
Inferiorparietal,0.09491324317732497,6.7301085624233625
Cuneus,0.594913243177325,3.9224826473379504
Supramarginal,0.21991324317732497,5.011101330977341
Thalamus_Proper,0.719913243177325,3.7843740557289887
