node,alpha,func_vals
Thalamus_Proper,0.727725743177325,3.8095021567300376
Supramarginal,0.22772574317732497,5.881363279603903
Bankssts,0.977725743177325,13.338069283211654
Putamen,0.47772574317732497,4.047149615899296
Cuneus,0.10272574317732497,7.899473281766985
Inferiorparietal,0.602725743177325,3.972427842124217
Fusiform,0.852725743177325,3.835054296900036
Hippocampus,0.35272574317732497,4.469162480027621
Parahippocampal,0.04022574317732497,8.347767175252729
Middletemporal,0.540225743177325,3.770168428003891
Cerebellum_Cortex,0.790225743177325,3.8347248686503677
Lateralorbitofrontal,0.29022574317732497,3.847287745231712
Rostralmiddlefrontal,0.915225743177325,3.836599689819367
Entorhinal,0.41522574317732497,3.7821721117226876
Isthmuscingulate,0.16522574317732497,7.001859931025442
Caudate,0.665225743177325,3.8278538717766573
Hippocampus,0.19647574317732497,5.261050724954235
Inferiortemporal,0.696475743177325,3.694763569380232
Inferiorparietal,0.946475743177325,4.109021009189719
Rostralmiddlefrontal,0.44647574317732497,5.276400141922209
Supramarginal,0.821475743177325,3.8347833371126114
Cerebellum_Cortex,0.32147574317732497,3.9815444603314387
Middletemporal,0.07147574317732497,6.164363132602916
Medialorbitofrontal,0.571475743177325,3.922059591464582
Parahippocampal,0.883975743177325,3.839248013136947
Fusiform,0.38397574317732497,4.166174908203536
Lateraloccipital,0.13397574317732497,4.810239359519465
Lateralorbitofrontal,0.633975743177325,3.711980860872554
Putamen,0.008975743177324969,8.563402764736242
Entorhinal,0.508975743177325,3.6469167451729794
Isthmuscingulate,0.758975743177325,3.842640617080999
Thalamus_Proper,0.25897574317732497,4.3455057177193455
Caudate,0.993350743177325,13.735021215081273
Isthmuscingulate,0.49335074317732497,4.3868734882218705
Entorhinal,0.743350743177325,3.8222109893435174
Putamen,0.24335074317732497,4.911177896482143
Lateralorbitofrontal,0.868350743177325,3.8366235749031494
Lateraloccipital,0.36835074317732497,3.9704047325835976
Middletemporal,0.11835074317732497,5.539784711829796
Parahippocampal,0.618350743177325,4.2907834836950975
Medialorbitofrontal,0.805850743177325,3.83184807735695
Bankssts,0.30585074317732497,4.731559245092691
Cerebellum_Cortex,0.05585074317732497,5.635905198741686
Supramarginal,0.555850743177325,4.089021191218688
Cuneus,0.18085074317732497,6.9093915814490545
Inferiorparietal,0.680850743177325,3.872886773996536
Inferiortemporal,0.930850743177325,3.836592813789322
Hippocampus,0.43085074317732497,4.200092957487263
Caudate,0.962100743177325,9.491602950215686
Caudalmiddlefrontal,0.46210074317732497,4.783278786978266
Inferiorparietal,0.21210074317732497,5.565731454257964
Rostralmiddlefrontal,0.712100743177325,3.9651534585118027
Lateralorbitofrontal,0.08710074317732497,4.645293958176794
Cerebellum_Cortex,0.587100743177325,3.7497434026958425
Middletemporal,0.837100743177325,3.8329688069952015
Medialorbitofrontal,0.33710074317732497,4.652452693401084
Hippocampus,0.14960074317732497,5.610124078257265
Fusiform,0.649600743177325,3.7886334787730522
Lateraloccipital,0.899600743177325,3.8359482391868003
Cuneus,0.39960074317732497,5.075475814123283
Putamen,0.774600743177325,3.8302452803237395
Bankssts,0.27460074317732497,4.9424259245675755
Isthmuscingulate,0.02460074317732497,9.708936016567213
Thalamus_Proper,0.524600743177325,3.818792534179103
Thalamus_Proper,0.12616324317732497,5.139429963691956
Isthmuscingulate,0.626163243177325,3.9489897489255665
Bankssts,0.876163243177325,3.8366549121061415
Putamen,0.37616324317732497,4.312266514737612
Cuneus,0.751163243177325,3.831221015024236
Lateraloccipital,0.25116324317732497,4.286017330590909
Fusiform,0.0011632431773249685,8.958900735495293
Parahippocampal,0.501163243177325,4.683711367413902
Medialorbitofrontal,0.938663243177325,5.349909759315195
Middletemporal,0.43866324317732497,3.8953739117792625
Cerebellum_Cortex,0.18866324317732497,4.454948776382902
Supramarginal,0.688663243177325,3.865494770688518
Rostralmiddlefrontal,0.06366324317732497,10.271979496397702
Inferiorparietal,0.563663243177325,4.048909276937966
Caudalmiddlefrontal,0.813663243177325,3.835593369519941
Caudate,0.31366324317732497,4.2701703303073995
Hippocampus,0.844913243177325,3.834244303977029
Fusiform,0.34491324317732497,4.3105285818443075
Inferiorparietal,0.09491324317732497,6.556168154766391
Cuneus,0.594913243177325,4.08026021022062
Supramarginal,0.21991324317732497,5.945129152074303
Thalamus_Proper,0.719913243177325,3.8075907301102108
Bankssts,0.969913243177325,12.5268006948166
Medialorbitofrontal,0.46991324317732497,4.1576425327059345
Parahippocampal,0.03241324317732497,8.56485662065954
Middletemporal,0.532413243177325,3.7742032602377886
Lateraloccipital,0.782413243177325,3.810591653418737
Lateralorbitofrontal,0.28241324317732497,3.8619572465869183
Rostralmiddlefrontal,0.907413243177325,3.836604412897551
Entorhinal,0.40741324317732497,3.8036472088578277
Isthmuscingulate,0.15741324317732497,7.098003918005595
Caudate,0.657413243177325,3.8278545467315177
Caudate,0.860538243177325,3.8370302024256993
Isthmuscingulate,0.36053824317732497,5.1930464392668645
Entorhinal,0.11053824317732497,5.671665836223061
Putamen,0.610538243177325,3.873924732115259
Lateralorbitofrontal,0.985538243177325,13.084835826425367
Lateraloccipital,0.48553824317732497,3.7862112943701183
