node,alpha,func_vals
Thalamus_Proper,0.727725743177325,3.8319814911674106
Supramarginal,0.22772574317732497,5.211189896075548
Bankssts,0.977725743177325,13.02882147329022
Putamen,0.47772574317732497,4.0316055023259345
Cuneus,0.10272574317732497,8.790417628005093
Inferiorparietal,0.602725743177325,3.900206584736211
Fusiform,0.852725743177325,3.8368658853020605
Hippocampus,0.35272574317732497,4.073039046531504
Parahippocampal,0.04022574317732497,8.169155357176043
Middletemporal,0.540225743177325,3.719447990050913
Cerebellum_Cortex,0.790225743177325,3.826251045801244
Lateralorbitofrontal,0.29022574317732497,4.91775029178736
Rostralmiddlefrontal,0.915225743177325,3.836670309747526
Entorhinal,0.41522574317732497,3.7238196132165697
Isthmuscingulate,0.16522574317732497,4.788853013168692
Caudate,0.665225743177325,3.807533959630317
Hippocampus,0.19647574317732497,4.531527208293095
Inferiortemporal,0.696475743177325,3.8107943677371408
Inferiorparietal,0.946475743177325,3.966995813547668
Rostralmiddlefrontal,0.44647574317732497,4.261298544666021
Supramarginal,0.821475743177325,3.837587047500377
Cerebellum_Cortex,0.32147574317732497,3.7862110765172314
Middletemporal,0.07147574317732497,5.917509034057148
Medialorbitofrontal,0.571475743177325,4.260236609446823
Parahippocampal,0.883975743177325,3.836583814079025
Fusiform,0.38397574317732497,4.723203301277789
Lateraloccipital,0.13397574317732497,5.967981276939221
Lateralorbitofrontal,0.633975743177325,3.8782244199121534
Putamen,0.008975743177324969,8.200992478211651
Entorhinal,0.508975743177325,3.6782474954216156
Isthmuscingulate,0.758975743177325,3.797486308824713
Thalamus_Proper,0.25897574317732497,4.313247732991995
Caudate,0.993350743177325,13.841854029933513
Isthmuscingulate,0.49335074317732497,3.6416270966964714
Entorhinal,0.743350743177325,3.8123180637550553
Putamen,0.24335074317732497,4.794657499577543
Lateralorbitofrontal,0.868350743177325,3.836684752324467
Lateraloccipital,0.36835074317732497,4.459018698194681
Middletemporal,0.11835074317732497,5.294480621788316
Parahippocampal,0.618350743177325,3.8433789044149522
Medialorbitofrontal,0.805850743177325,3.8423738669835874
Bankssts,0.30585074317732497,4.513955812394023
