seed,SSE,r
Superiorfrontal,6.27682814648336,-0.1810416624238688
Inferiortemporal,4.271862304034876,0.2559712753766928
Cerebellum_Cortex,3.208400174352955,0.40660517634799437
Putamen,5.286008378203955,-0.28974598241932403
Precuneus,6.055815625691361,-0.1386849952815927
Parsopercularis,4.518739458278343,-0.18591039324797448
Parstriangularis,4.2260299776331225,0.09759489955359761
Bankssts,4.012568430090014,0.2696358613062396
Isthmuscingulate,4.462953526116035,-0.07936104134030261
Rostralanteriorcingulate,4.155240167083688,0.00030315317971445216
Superiortemporal,4.424726539264632,0.08603193056896387
Accumbens_area,4.323846495214316,-0.07167925676356268
Thalamus_Proper,5.340972541549284,-0.05692709857615633
Amygdala,3.8395183154126094,0.14161085165255885
Caudate,4.574806976887198,0.07016609510244128
Cuneus,5.666079242317601,-0.07016530382355657
Hippocampus,4.486006138282255,0.03332853252116301
Parsorbitalis,4.486399020845937,-0.10280283523052643
Caudalanteriorcingulate,5.772564893075974,-0.29607205534311903
Paracentral,5.704688915867351,-0.23029311710255432
Pericalcarine,5.98217243085977,-0.17826463751778157
Postcentral,6.265746199892684,-0.1504228265786276
Caudalmiddlefrontal,5.398309090390056,-0.08951177228539825
Frontalpole,6.5968817416672945,-0.3211438971494224
Lateraloccipital,4.394980768911963,-0.023895192375988816
Lateralorbitofrontal,4.675634299670907,-0.04677852071699251
Lingual,5.224285368005007,-0.06427280018028898
Medialorbitofrontal,5.823673848607084,-0.17132436878820573
Supramarginal,4.111640828129603,0.25867725927867374
Fusiform,3.6543582037593025,0.3046548495789751
Transversetemporal,5.076064430835232,-0.3051067651145345
Middletemporal,3.9670466553376085,0.30360158006945737
Parahippocampal,4.2343083425781725,0.10601418960829076
Pallidum,4.558940331390179,-0.12588881478814284
Insula,4.2690302767003026,0.10054483820226548
Precentral,5.9061165939393385,-0.027779197326838465
Superiorparietal,5.284676495420068,0.0667731106805826
Entorhinal,3.988270374244332,0.15811297370449962
Temporalpole,4.924400527606955,-0.05404837422729373
Posteriorcingulate,4.350009902017054,0.06929786411488523
Inferiorparietal,4.625839562935522,0.1210639425019863
Rostralmiddlefrontal,4.804645406095954,0.21411335857394903
