seed,SSE,r
Superiorfrontal,5.56057476510922,0.025798902438332622
Inferiortemporal,4.457157836149203,0.1554464108491341
Cerebellum_Cortex,4.208310186158739,0.15997663054258843
Putamen,5.453600890071835,-0.1502849289526861
Precuneus,5.5219139052172075,-0.021986159719419043
Parsopercularis,5.87018438258838,-0.20117595767474655
Parstriangularis,5.130356765006698,0.006051970365024664
Bankssts,4.055490413045527,0.23038355748772196
Isthmuscingulate,4.5860516532929205,0.04124094022569733
Rostralanteriorcingulate,5.655129165272122,-0.1574197402453607
Superiortemporal,4.065932869443005,0.07957052410492381
Accumbens_area,4.0129958834206,0.0996489347633292
Thalamus_Proper,5.118509300128264,-0.10765149865075799
Amygdala,4.011623237460661,0.12913512661137852
Caudate,3.9319571448824915,0.21588738312039524
Cuneus,5.655031644996969,-0.10388875038567993
Hippocampus,4.376367852598421,0.02997017883711133
Parsorbitalis,4.446140183243875,0.004956317270758461
Caudalanteriorcingulate,4.200184345149945,0.07614808675991742
Paracentral,6.2223577514743065,-0.14682831647945127
Pericalcarine,6.194587563310685,-0.20317360256432643
Postcentral,5.6270952356012796,-0.16693688709902024
Caudalmiddlefrontal,4.54765677188795,0.023585043649798396
Frontalpole,5.336385922333418,-0.14082474823245894
Lateraloccipital,4.498261915179863,0.09917112169886626
Lateralorbitofrontal,4.583838973887098,0.005587253989368986
Lingual,5.3640732385928,-0.07581599880531316
Medialorbitofrontal,4.716033560788151,0.054208802945657254
Supramarginal,4.395990500083856,0.056106285633453955
Fusiform,4.43284108749919,0.09520329912524295
Transversetemporal,4.964691664904726,-0.2303222635137674
Middletemporal,4.184205594558373,0.048102973144994114
Parahippocampal,5.276711373965863,-0.05272377721490346
Pallidum,3.887253604379726,0.029643497534510524
Insula,4.78437205836683,-0.07575498240586818
Precentral,6.159890301790469,-0.17684859534104075
Superiorparietal,6.224234299105513,-0.14856992659600157
Entorhinal,3.981132497645902,0.13768440747612684
Temporalpole,4.4185910170714,0.013116724742662697
Posteriorcingulate,5.6679120141126065,-0.12236789897227553
Inferiorparietal,4.667171698552202,0.17543005076858922
Rostralmiddlefrontal,5.136024279222766,0.04995301087605057
