seed,SSE,r
Superiorfrontal,5.196206465170112,-0.07743250434641175
Inferiortemporal,3.651817139253846,0.34935170986018754
Cerebellum_Cortex,4.366566479819842,-0.04023836790507917
Putamen,5.377165913412123,-0.09477036548978265
Precuneus,5.223568410412837,-0.009581131751931437
Parsopercularis,4.779808347146032,-0.07211753012690247
Parstriangularis,5.722030647018945,-0.021955351285468504
Bankssts,4.633616327071532,0.011476636697211991
Isthmuscingulate,4.078621917512152,0.17636759794999776
Rostralanteriorcingulate,5.160772908404533,-0.13588389133692141
Superiortemporal,4.376648743208138,0.10068669104061768
Accumbens_area,4.155010042948026,-0.04022565448225994
Thalamus_Proper,5.5238515612115515,-0.020620538161263274
Amygdala,4.9855464892852135,-0.1393005472404011
Caudate,4.547600294401736,-0.01761203390403375
Cuneus,5.040627733690505,0.020374440051345432
Hippocampus,4.507448902643036,0.09765458900954231
Parsorbitalis,4.331787829374867,-0.03351601016823588
Caudalanteriorcingulate,4.774162520975262,-0.03407545168642039
Paracentral,4.7541725513319175,0.018041106831996334
Pericalcarine,5.25348159204324,0.08814756753594975
Postcentral,5.19539483170665,0.06057608860484266
Caudalmiddlefrontal,5.06857992654542,-0.09487218647358472
Frontalpole,4.295826752485256,0.0013910010394257225
Lateraloccipital,3.935521564933416,0.2508871839890366
Lateralorbitofrontal,5.177059137974623,-0.04304160181426317
Lingual,5.050851302445783,-0.015165425093537483
Medialorbitofrontal,4.803467508566091,0.025544956928495545
Supramarginal,4.7652969240207605,0.07597821061398165
Fusiform,4.403630905979435,0.1515677874912861
Transversetemporal,4.814963350533562,-0.1105967517330965
Middletemporal,4.990011752230935,0.11905816404282231
Parahippocampal,5.127835353887272,-0.10601492081820026
Pallidum,5.012993474100829,-0.2116273418635851
Insula,4.897676266912862,0.12410234888442323
Precentral,5.081447905729228,0.01925698647805051
Superiorparietal,5.472553059360022,0.06278169668268745
Entorhinal,3.6997790141984064,0.2863621369868806
Temporalpole,4.8098838130040775,-0.10915468051751882
Posteriorcingulate,5.155211626854677,-0.01347775540660051
Inferiorparietal,4.6479230589731255,0.1858005898454092
Rostralmiddlefrontal,5.538451568138146,-0.03935624234623062
