seed,SSE,r
Superiorfrontal,6.037427478522117,0.00369818674446166
Inferiortemporal,4.430785924802208,0.09316965065598216
Cerebellum_Cortex,5.915989911676623,-0.24429973315636727
Putamen,4.912975114884712,0.017465287799616844
Precuneus,5.051608716251556,0.10900363082315064
Parsopercularis,4.171249296765424,0.10814666948536689
Parstriangularis,5.10914653089182,-0.12317206751418622
Bankssts,3.9256182040312675,0.23332187515051456
Isthmuscingulate,5.659824185830934,-0.014859633306032018
Rostralanteriorcingulate,4.67326306887205,-0.0737468908469508
Superiortemporal,5.956660143516706,-0.1287890288675847
Accumbens_area,3.9059797455468956,0.08681168997652258
Thalamus_Proper,5.029600784529174,-0.053032668668849016
Amygdala,5.387349159109348,-0.1443869345324992
Caudate,4.215953184996079,0.08447636194173996
Cuneus,5.035217272199981,-0.07591965774223527
Hippocampus,3.6774772746261895,0.20686241322510113
Parsorbitalis,4.691348907244866,-0.06472329121914257
Caudalanteriorcingulate,4.7589343559580835,-0.09936728540762932
Paracentral,5.1073629970243255,-0.1121291228566259
Pericalcarine,4.669135837001503,-0.007895004418840123
Postcentral,5.404071434588613,-0.06986005984033727
Caudalmiddlefrontal,4.654397132195621,-0.02743694044247258
Frontalpole,5.3193119077072515,-0.22865755720680647
Lateraloccipital,4.747414048281821,0.08850180546729768
Lateralorbitofrontal,4.569126328804216,0.12257298257039485
Lingual,4.756110859316814,0.07601363517901419
Medialorbitofrontal,5.237804050483142,0.014178270840204552
Supramarginal,4.216073044741608,-0.028673208541382108
Fusiform,3.829125489692609,0.22638535282526395
Transversetemporal,5.967031013945959,-0.31522235456921693
Middletemporal,4.738291534536972,0.17115989244949392
Parahippocampal,3.884297862798116,0.1860469948364258
Pallidum,4.234040611291887,-0.09328820986969596
Insula,5.150304108102279,-0.07393605573116131
Precentral,5.1621048483624925,0.018131560856468772
Superiorparietal,6.40879947902179,-0.08331369713622178
Entorhinal,5.086444658100385,-0.07827101119200396
Temporalpole,4.570077676938477,-0.04529320059927328
Posteriorcingulate,4.7471495598338525,-0.08982940003261654
Inferiorparietal,4.484519758706246,0.0029224547222074077
Rostralmiddlefrontal,5.642338682264846,-0.009054624033621934
